Name,Статус,Вход,Етаж,Тип,Описание,Продавач,Очаквана цена (EUR),Цена (EUR),Цена двор/тераса (EUR),Квадратура общо,Общи части,Чиста площ,Коеф. ид.ч,Брой бани,"Двор, м2","Тераси, м2","Земя, м2","Земя, %","Двор, %",ДОГОВОРИ,Кредит,Купувач,"Цена (BGN, оригинал)","Очаквана цена (BGN, оригинал)","Цена двор/тераса (BGN, оригинал)"
Гараж 045,Свободен,,0,Гараж,гараж,,,,,79.06,32.07,46.99,,,,,18.81,0.356,,,false,,,,
Гараж 046,Свободен,,0,Гараж,гараж,,,,,52.14,21.15,30.99,,,,,12.4,0.235,,,false,,,,
Гараж 047,Свободен,,0,Гараж,гараж,,,,,54.09,21.94,32.15,,,,,12.87,0.243,,,false,,,,
Гараж 048,Свободен,,0,Гараж,гараж,,,,,48.97,19.86,29.11,,,,,11.65,0.22,,,false,,,,
Гараж 049,Свободен,,0,Гараж,гараж,,,,,33.51,13.59,19.92,,,,,7.97,0.151,,,false,,,,
Гараж 050,Свободен,,0,Гараж,гараж,,,,,35.33,14.33,21,,,,,8.4,0.159,,,false,,,,
Гараж 051,Свободен,,0,Гараж,гараж,,,,,42.43,17.21,25.22,,,,,10.09,0.191,,,false,,,,
Гараж 052,Свободен,,0,Гараж,гараж,,,,,39.1,15.86,23.24,,,,,9.3,0.176,,,false,,,,
Гараж 053,Свободен,,0,Гараж,гараж,,,,,32.67,13.25,19.42,,,,,7.77,0.147,,,false,,,,
Гараж 054,Свободен,,0,Гараж,гараж,,,,,38.68,15.69,22.99,,,,,9.2,0.174,,,false,,,,
Гараж 056,Свободен,,0,Гараж,гараж,,,,,34.98,14.19,20.79,,,,,8.32,0.157,,,false,,,,
Гараж 057,Свободен,,0,Гараж,гараж,,,,,34.12,13.84,20.28,,,,,8.12,0.153,,,false,,,,
Гараж 058,Свободен,,0,Гараж,гараж,,,,,33.5,13.59,19.91,,,,,7.97,0.151,,,false,,,,
Гараж 059,Свободен,,0,Гараж,гараж,,,,,34.12,13.84,20.28,,,,,8.12,0.153,,,false,,,,
Гараж 060,Свободен,,0,Гараж,гараж,,,,,33.5,13.59,19.91,,,,,7.97,0.151,,,false,,,,
Гараж 061,Свободен,,0,Гараж,гараж,,,,,31.83,12.91,18.92,,,,,7.57,0.143,,,false,,,,
Гараж 062,Свободен,,0,Гараж,гараж,,,,,32.13,13.03,19.1,,,,,7.64,0.145,,,false,,,,
Гараж 063,Свободен,,0,Гараж,гараж,,,,,31.61,12.82,18.79,,,,,7.52,0.142,,,false,,,,
Гараж 064,Свободен,,0,Гараж,гараж,,,,,32.13,13.03,19.1,,,,,7.64,0.145,,,false,,,,
Гараж 065,Свободен,,0,Гараж,гараж,,,,,42.38,17.19,25.19,,,,,10.08,0.191,,,false,,,,
Паркомясто 1,Депозит,,0,ПМ,паркомясто,,,,,,,,,,,,16.01,0.303,,,false,,,,
Паркомясто 2,Свободен,,0,ПМ,паркомясто,,,,,,,,,,,,13.13,0.248,,,false,,,,
Паркомясто 3,Свободен,,0,ПМ,паркомясто,,,,,,,,,,,,13.13,0.248,,,false,,,,
Паркомясто 4,Свободен,,0,ПМ,паркомясто,,,,,,,,,,,,13.23,0.25,,,false,,,,
Паркомясто 5,Свободен,,0,ПМ,паркомясто,,,,,,,,,,,,13.3,0.251,,,false,,,,
Паркомясто 6,Свободен,,0,ПМ,паркомясто,,,,,,,,,,,,13.3,0.251,,,false,,,,
Паркомясто 7,Свободен,,0,ПМ,паркомясто,,,,,,,,,,,,13.3,0.251,,,false,,,,
Паркомясто 8,Свободен,,0,ПМ,паркомясто,,,,,,,,,,,,13.3,0.251,,,false,,,,
Паркомясто 9,Свободен,,0,ПМ,паркомясто,,,,,,,,,,,,13.3,0.251,,,false,,,,
Паркомясто 10,Свободен,,0,ПМ,паркомясто,,,,,,,,,,,,13.3,0.251,,,false,,,,
Паркомясто 11,Свободен,,0,ПМ,паркомясто,,,,,,,,,,,,13.3,0.251,,,false,,,,
офис 1,Свободен,В,1,Офис,търговско помещение и WC,,,,,55.76,9.2,46.56,,,,,12.94,0.245,,,false,,,,
офис 2,Свободен,В,1,Офис,търговско помещение и WC,,,,,55.72,9.19,46.53,,,,,12.93,0.245,,,false,,,,
офис 3,Свободен,В,1,Офис,търговско помещение и WC,,,,,55.77,9.2,46.57,,,,,12.94,0.245,,,false,,,,
офис 4,Свободен,В,1,Офис,търговско помещение и WC,,,,,97.92,16.16,81.76,,,,,22.73,0.43,,,false,,,,
офис 5,Свободен,В,1,Офис,търговско помещение и WC,,,,,97.92,16.16,81.76,,,,,22.73,0.43,,,false,,,,
